"subject","trial_count","arousal_mean","arousal_sd","arousal_run_r","arousal_run_p","arousal_run_ci_h","arousal_run_ci_l","arousal_session_r","arousal_session_p","arousal_session_ci_h","arousal_session_ci_l"
1,50,48.67,26.52,-0.026,0.856,0.254,-0.302,-0.562,0,-0.337,-0.727
3,40,58.33,23.09,0.064,0.694,0.368,-0.252,-0.036,0.824,0.278,-0.344
4,50,55.37,27.08,-0.048,0.742,0.234,-0.322,0.316,0.025,0.546,0.041
5,50,51.92,31.27,0.053,0.715,0.326,-0.229,-0.331,0.019,-0.058,-0.558
6,50,75.4,19.69,-0.073,0.614,0.21,-0.344,0.672,0,0.801,0.484
8,40,50.57,46.05,0.033,0.838,0.341,-0.281,0.133,0.413,0.427,-0.186
9,48,47.51,16.49,-0.237,0.104,0.05,-0.489,0.221,0.131,0.476,-0.067
10,50,33.85,32.5,-0.098,0.498,0.185,-0.366,0.172,0.233,0.429,-0.112
12,50,49.44,19.98,0.098,0.498,0.366,-0.185,0.263,0.065,0.504,-0.017
15,50,58.59,42.1,0.118,0.416,0.383,-0.166,-0.301,0.034,-0.025,-0.535
17,50,47.25,24.04,0.338,0.016,0.563,0.066,-0.369,0.008,-0.101,-0.587
18,50,16.57,15.03,0.258,0.071,0.5,-0.022,0.158,0.274,0.418,-0.126
19,50,39.77,31.68,0.077,0.596,0.348,-0.206,-0.042,0.772,0.239,-0.317
21,50,66.41,20.78,-0.084,0.562,0.199,-0.354,0.238,0.096,0.484,-0.043
22,50,52.59,31.89,0.03,0.837,0.306,-0.251,0.067,0.646,0.339,-0.216
23,50,57.16,21.48,-0.091,0.528,0.192,-0.361,-0.157,0.277,0.127,-0.417
24,50,51.09,31.62,0.142,0.324,0.405,-0.142,-0.282,0.047,-0.004,-0.519
25,41,53.28,33.61,-0.199,0.211,0.115,-0.478,-0.708,0,-0.513,-0.834
27,50,53.2,31.03,0.084,0.562,0.354,-0.199,0.282,0.047,0.52,0.004
28,50,32,47.12,-0.303,0.033,-0.027,-0.536,-0.003,0.984,0.276,-0.281
29,40,35.18,33.53,0.126,0.437,0.421,-0.193,0.077,0.636,0.38,-0.24
32,40,73.4,29.45,0.113,0.487,0.41,-0.206,-0.769,0,-0.602,-0.872
33,50,54.84,7.52,-0.04,0.78,0.241,-0.315,0.083,0.567,0.353,-0.2
34,50,53.8,28.33,0.165,0.251,0.424,-0.119,0.009,0.952,0.286,-0.27
37,50,41.69,20.93,0.157,0.275,0.417,-0.127,-0.004,0.98,0.275,-0.282
38,50,31.8,27.49,0.064,0.661,0.336,-0.219,0.615,0,0.763,0.406
41,50,53.35,19.68,0.197,0.17,0.451,-0.086,0.631,0,0.773,0.427
42,50,48.77,24.54,-0.121,0.403,0.163,-0.386,-0.294,0.038,-0.017,-0.529
43,40,50.52,19.84,0.038,0.816,0.345,-0.277,0.592,0,0.763,0.344
44,50,55.81,21.53,-0.058,0.687,0.224,-0.331,0.041,0.775,0.316,-0.24
